opcode,mnemonic,address_mode,chiptype
# chiptype: 0 - 6502, 1 - wdc65c02 (rev1), 2 - rockwell/wdc 650c02, 3 - huc6280
0x02,@kil,imp1,0
0x03,@slo,izx,0
0x04,@nop,zp,0
0x07,@slo,zp,0
0x0b,@anc,imm,0
0x0c,@nop,abs,0
0x0f,@slo,abs,0
0x12,@kil,imp1,0
0x13,@slo,izy,0
0x14,@nop,zpx,0
0x17,@slo,zpx,0
0x1a,@nop,imp1,0
0x1b,@slo,aby,0
0x1c,@nop,abx,0
0x1f,@slo,abx,0
0x22,@kil,imp1,0
0x23,@rla,izx,0
0x27,@rla,zp,0
0x2b,@anc,imm,0
0x2f,@rla,abs,0
0x32,@kil,imp1,0
0x33,@rla,izy,0
0x34,@nop,zpx,0
0x37,@rla,zpx,0
0x3a,@nop,imp1,0
0x3b,@rla,aby,0
0x3c,@nop,abx,0
0x3f,@rla,abx,0
0x42,@kil,imp1,0
0x43,@sre,izx,0
0x44,@nop,zp,0
0x47,@sre,zp,0
0x4b,@alr,imm,0
0x4f,@sre,abs,0
0x52,@kil,imp1,0
0x53,@sre,izy,0
0x54,@nop,zpx,0
0x57,@sre,zpx,0
0x5a,@nop,imp1,0
0x5b,@sre,aby,0
0x5c,@nop,abx,0
0x5f,@sre,abx,0
0x62,@kil,imp1,0
0x63,@rra,izx,0
0x64,@nop,zp,0
0x67,@rra,zp,0
0x6b,@arr,imm,0
0x6f,@rra,abs,0
0x72,@kil,imp1,0
0x73,@rra,izy,0
0x74,@nop,zpx,0
0x77,@rra,zpx,0
0x7a,@nop,imp1,0
0x7b,@rra,aby,0
0x7c,@nop,abx,0
0x7f,@rra,abx,0
0x80,@nop,imm,0
0x82,@nop,imm,0
0x83,@axs,izx,0
0x87,@axs,zp,0
0x89,@nop,imm,0
0x8b,@xaa,imm,0
0x8f,@axs,abs,0
0x92,@kil,imp1,0
0x93,@ahx,izy,0
0x97,@axs,zpy,0
0x9b,@tas,aby,0
0x9c,@shy,abx,0
0x9e,@shx,aby,0
0x9f,@ahx,aby,0
0xa3,@lax,izx,0
0xa7,@lax,zp,0
0xab,@lxa,imm,0
0xaf,@lax,abs,0
0xb2,@kil,imp1,0
0xb3,@lax,izy,0
0xb7,@lax,zpy,0
0xbb,@las,aby,0
0xbf,@lax,aby,0
0xc2,@nop,imm,0
0xc3,@dcp,izx,0
0xc7,@dcp,zp,0
0xcb,@sbx,imm,0
0xcf,@dcp,abs,0
0xd2,@kil,imp1,0
0xd3,@dcp,izy,0
0xd4,@nop,zpx,0
0xd7,@dcp,zpx,0
0xda,@nop,imp1,0
0xdb,@dcp,aby,0
0xdc,@nop,abx,0
0xdf,@dcp,abx,0
0xe2,@nop,imm,0
0xe3,@isc,izx,0
0xe7,@isc,zp,0
0xeb,@sbc,imm,0
0xef,@isc,abs,0
0xf2,@kil,imp1,0
0xf3,@isc,izy,0
0xf4,@nop,zpx,0
0xf7,@isc,zpx,0
0xfa,@nop,imp1,0
0xfb,@isc,aby,0
0xfc,@nop,abx,0
0xff,@isc,abx,0
0x02,%nop,imm,1
0x03,%nop,imp1,1
0x07,%nop,imp1,1
0x0b,%nop,imp1,1
0x0f,%nop,imp1,1
0x13,%nop,imp1,1
0x17,%nop,imp1,1
0x1b,%nop,imp1,1
0x1f,%nop,imp1,1
0x22,%nop,imm,1
0x23,%nop,imp1,1
0x27,%nop,imp1,1
0x2b,%nop,imp1,1
0x2f,%nop,imp1,1
0x33,%nop,imp1,1
0x37,%nop,imp1,1
0x3b,%nop,imp1,1
0x3f,%nop,imp1,1
0x42,%nop,imm,1
0x43,%nop,imp1,1
0x44,%nop,zp,1
0x47,%nop,imp1,1
0x4b,%nop,imp1,1
0x4f,%nop,imp1,1
